"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto";"Equipo"
"Olivier Giroud";1;0;932;1;0.00107296137339056;"Milan"
"Promedio";NA;NA;7385;29;0.0039268788083954;"Milan"
"Juan Jesus";2;0;205;2;0.00975609756097561;"Napoli"
"Matteo Politano";2;0;403;2;0.00496277915632754;"Napoli"
"Andre-Frank Zambo Anguissa";2;1;650;3;0.00461538461538462;"Napoli"
"Giacomo Raspadori";1;0;250;1;0.004;"Napoli"
"Kim Min-jae";3;0;785;3;0.00382165605095541;"Napoli"
"Elif Elmas";1;0;285;1;0.00350877192982456;"Napoli"
"Amir Rrahmani";2;0;613;2;0.0032626427406199;"Napoli"
"Mário Rui";1;0;386;1;0.00259067357512953;"Napoli"
"Victor Osimhen";1;0;421;1;0.00237529691211401;"Napoli"
"Giovanni Di Lorenzo";2;0;888;2;0.00225225225225225;"Napoli"
"Mathías Olivera";1;0;514;1;0.00194552529182879;"Napoli"
"Piotr Zieliński";1;0;619;1;0.00161550888529887;"Napoli"
"Promedio";NA;NA;6019;20;0.00332281109818907;"Napoli"
